"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "PostCSS", "JSON", "comment", "blank", "total"
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\auth\ehs-login\route.ts", "TypeScript", 31, 0, 0, 0, 0, 5, 2, 38
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\bulk\route.ts", "TypeScript", 44, 0, 0, 0, 0, 6, 12, 62
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\bulk\stats\route.ts", "TypeScript", 18, 0, 0, 0, 0, 1, 4, 23
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\dispatch\route.ts", "TypeScript", 39, 0, 0, 0, 0, 5, 10, 54
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\dispatch\stats\route.ts", "TypeScript", 29, 0, 0, 0, 0, 1, 4, 34
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\ehs\deviation\[id]\public-edit\route.js", "JavaScript", 0, 0, 29, 0, 0, 2, 6, 37
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\ehs\deviation\[id]\route.ts", "TypeScript", 95, 0, 0, 0, 0, 8, 11, 114
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\ehs\deviations\route.ts", "TypeScript", 89, 0, 0, 0, 0, 2, 12, 103
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\ehs\exportPDF\route.ts", "TypeScript", 132, 0, 0, 0, 0, 2, 11, 145
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\ehs\uploadPhoto\route.ts", "TypeScript", 37, 0, 0, 0, 0, 4, 8, 49
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\fr0\route.ts", "TypeScript", 44, 0, 0, 0, 0, 6, 11, 61
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\fr0\stats\route.ts", "TypeScript", 20, 0, 0, 0, 0, 1, 5, 26
"c:\Users\arya.khadgi\Documents\PROD\NexS-Ascend\src\app\api\maintenance\shop-issue\route.ts", "TypeScript", 61, 0, 0, 0, 0, 1, 5, 67
